DateTime,Open,High,Low,Close,Volume
20171001 21:00:00.000,1.17950,1.18090,1.17948,1.18067,1228008000
20171001 22:00:00.000,1.18067,1.18150,1.18019,1.18111,3014776000
20171001 23:00:00.000,1.18110,1.18113,1.18060,1.18079,2486369000
20171002 00:00:00.000,1.18079,1.18079,1.17876,1.17893,7543814000
20171002 01:00:00.000,1.17895,1.17912,1.17705,1.17741,10005649000
20171002 02:00:00.000,1.17742,1.17799,1.17715,1.17758,5739730000
20171002 03:00:00.000,1.17759,1.17786,1.17732,1.17782,2872634000
20171002 04:00:00.000,1.17781,1.17802,1.17735,1.17766,3254725000
20171002 05:00:00.000,1.17766,1.17767,1.17605,1.17633,7065745000
20171002 06:00:00.000,1.17632,1.17686,1.17543,1.17642,12143917000
20171002 07:00:00.000,1.17643,1.17658,1.17350,1.17421,19163094000
20171002 08:00:00.000,1.17421,1.17525,1.17336,1.17454,15447746000
20171002 09:00:00.000,1.17454,1.17485,1.17303,1.17314,12154642000
20171002 10:00:00.000,1.17314,1.17462,1.17302,1.17454,8278913000
20171002 11:00:00.000,1.17454,1.17514,1.17377,1.17383,9133096000
20171002 12:00:00.000,1.17382,1.17632,1.17370,1.17577,17045519000
20171002 13:00:00.000,1.17576,1.17611,1.17464,1.17513,14367576000
20171002 14:00:00.000,1.17513,1.17586,1.17342,1.17352,26181932000
20171002 15:00:00.000,1.17352,1.17460,1.17305,1.17443,12672739000
20171002 16:00:00.000,1.17442,1.17486,1.17404,1.17430,8269032000
20171002 17:00:00.000,1.17430,1.17441,1.17334,1.17390,7683363000
20171002 18:00:00.000,1.17390,1.17496,1.17368,1.17432,7064067000
20171002 19:00:00.000,1.17433,1.17458,1.17329,1.17349,5775034000
20171002 20:00:00.000,1.17349,1.17367,1.17313,1.17320,2339068000
20171002 21:00:00.000,1.17325,1.17363,1.17313,1.17338,2477178000
20171002 22:00:00.000,1.17339,1.17400,1.17323,1.17387,3611676000
20171002 23:00:00.000,1.17387,1.17397,1.17313,1.17316,3095894000
20171003 00:00:00.000,1.17317,1.17341,1.17193,1.17198,7617538000
20171003 01:00:00.000,1.17199,1.17204,1.17039,1.17060,14589851000
20171003 02:00:00.000,1.17060,1.17136,1.17019,1.17124,6257309000
20171003 03:00:00.000,1.17124,1.17146,1.17037,1.17048,5247582000
20171003 04:00:00.000,1.17047,1.17089,1.17042,1.17065,3583462000
20171003 05:00:00.000,1.17066,1.17093,1.16961,1.17061,7549023000
20171003 06:00:00.000,1.17061,1.17242,1.17023,1.17230,12910905000
20171003 07:00:00.000,1.17231,1.17438,1.17196,1.17429,18420889000
20171003 08:00:00.000,1.17429,1.17476,1.17329,1.17329,10929843000
20171003 09:00:00.000,1.17330,1.17497,1.17325,1.17360,7961918000
20171003 10:00:00.000,1.17360,1.17590,1.17357,1.17563,10565547000
20171003 11:00:00.000,1.17564,1.17621,1.17492,1.17495,8129117000
20171003 12:00:00.000,1.17495,1.17535,1.17377,1.17486,9575234000
20171003 13:00:00.000,1.17486,1.17613,1.17475,1.17550,14090877000
20171003 14:00:00.000,1.17551,1.17735,1.17529,1.17531,19439545000
20171003 15:00:00.000,1.17531,1.17639,1.17531,1.17587,11336397000
20171003 16:00:00.000,1.17587,1.17602,1.17498,1.17530,10690849000
20171003 17:00:00.000,1.17531,1.17561,1.17448,1.17464,8076955000
20171003 18:00:00.000,1.17465,1.17501,1.17391,1.17496,7047228000
20171003 19:00:00.000,1.17497,1.17529,1.17454,1.17492,6819926000
20171003 20:00:00.000,1.17491,1.17506,1.17432,1.17437,3112539000
20171003 21:00:00.000,1.17436,1.17440,1.17350,1.17367,3340853000
20171003 22:00:00.000,1.17367,1.17451,1.17364,1.17432,3352862000
20171003 23:00:00.000,1.17431,1.17490,1.17414,1.17477,2582098000
20171004 00:00:00.000,1.17477,1.17797,1.17466,1.17746,13698187000
20171004 01:00:00.000,1.17746,1.17762,1.17664,1.17725,7612208000
20171004 02:00:00.000,1.17725,1.17797,1.17661,1.17681,5084076000
20171004 03:00:00.000,1.17681,1.17717,1.17646,1.17675,2896373000
