Model_Name,Features_Type,Model_State,Dataset_Columns,Date_Start,Date_Finish,Total_Time,Epochs Total,Epochs Completed,Valid_Loss,Valid_MAE,Valid_RMSE
model_1_Dense1_univar1_out1,univar,new compilation,['Close'],2025-03-29 11:27:19.824568,2025-03-29 11:27:27.431619,0 days 00:00:07.607051,1,1,0.006199431605637,0.1032289117574691,0.1113501787185669
model_2_RNN1_univar1_out1,univar,new compilation,['Close'],2025-03-29 11:27:27.447247,2025-03-29 11:27:40.830640,0 days 00:00:13.383393,1,1,0.0054976237006485,0.0974100083112716,0.1048582270741462
model_3_RNN32_univar1_out1,univar,new compilation,['Close'],2025-03-29 11:27:40.830640,2025-03-29 11:27:53.958686,0 days 00:00:13.128046,1,1,5.996640084049432e-06,0.0030856293160468,0.0034631316084414
model_4_LSTM32_univar1_out1,univar,new compilation,['Close'],2025-03-29 11:27:53.974312,2025-03-29 11:28:14.809253,0 days 00:00:20.834941,1,1,0.0022642540279775,0.0627984702587127,0.0672941878437995
model_5_GRU32_univar1_out1,univar,new compilation,['Close'],2025-03-29 11:28:14.824875,2025-03-29 11:28:38.427684,0 days 00:00:23.602809,1,1,0.0011865677079185,0.045339073985815,0.0487148389220237
model_1_Dense1_multivar2_out1,multivar,new compilation,"['Close', 'Volume']",2025-03-29 11:32:16.068961,2025-03-29 11:32:22.464707,0 days 00:00:06.395746,1,1,0.0042839697562158,0.0842760056257247,0.0925631672143936
model_2_RNN1_multivar2_out1,multivar,new compilation,"['Close', 'Volume']",2025-03-29 11:32:22.483287,2025-03-29 11:32:35.832149,0 days 00:00:13.348862,1,1,0.0035954525228589,0.077144056558609,0.0847992077469825
model_3_RNN32_multivar2_out1,multivar,new compilation,"['Close', 'Volume']",2025-03-29 11:32:35.843589,2025-03-29 11:32:48.944800,0 days 00:00:13.101211,1,1,0.0009684964898042,0.040248692035675,0.0440112836658954
model_4_LSTM32_multivar2_out1,multivar,new compilation,"['Close', 'Volume']",2025-03-29 11:32:48.960005,2025-03-29 11:33:10.835609,0 days 00:00:21.875604,1,1,0.0027170884422957,0.0687822625041008,0.0737168714404106
model_5_GRU32_multivar2_out1,multivar,new compilation,"['Close', 'Volume']",2025-03-29 11:33:10.846315,2025-03-29 11:33:35.315882,0 days 00:00:24.469567,1,1,0.0008447872241958,0.0380422919988632,0.041104432195425
model_1_Dense1_multivar5_out1,multivar,new compilation,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-29 11:33:35.956588,2025-03-29 11:33:42.628780,0 days 00:00:06.672192,1,1,0.0012681480729952,0.0431331433355808,0.0503616519272327
model_2_RNN1_multivar5_out1,multivar,new compilation,"['Close', 'Volume', 'Body', 'UpperShadow', 'LowerShadow']",2025-03-29 11:33:42.644552,2025-03-29 11:33:55.821988,0 days 00:00:13.177436,1,1,0.0042970976792275,0.086185984313488,0.0927048847079277
